URL,状态,标题,长度,链接类型,重定向,深度,敏感信息类型,敏感信息数量,敏感信息详细清单,是否重复
https://code.claude.com/docs/en/skills,200,Agent Skills - Claude Code Docs,908545,接口,,0,Windows路径,1,Windows路径:g:\\\,否
https://code.claude.com/docs/en/setup,200,Set up Claude Code - Claude Code Docs,797103,接口,,1,Windows路径,2,Windows路径:C:\\\\Program Files\\\\Git\\\\bin\\\\bash.exe\\\; g:\\\,否
https://code.claude.com/docs/en/summary_large_image,200,Page Not Found,388161,接口,,1,Windows路径,1,Windows路径:g:\\\,否
https://code.claude.com/docs/en/data-usage,200,Data usage - Claude Code Docs,480862,接口,,2,Windows路径,1,Windows路径:g:\\\,否
https://code.claude.com/docs/en/Install,200,Page Not Found,390395,接口,,2,Windows路径,1,Windows路径:g:\\\,否
https://code.claude.com/docs/en/Agent,200,Page Not Found,390064,接口,,1,Windows路径,1,Windows路径:g:\\\,否
https://code.claude.com/docs/en/Create,200,Page Not Found,390304,接口,,1,Windows路径,1,Windows路径:g:\\\,否
https://code.claude.com/docs/en/website,200,Page Not Found,390395,接口,,1,Windows路径,1,Windows路径:g:\\\,否
https://code.claude.com/docs/en/utf-8,200,Page Not Found,390216,接口,,1,Windows路径,1,Windows路径:g:\\\,否
https://code.claude.com/docs/en/width=device-width,200,Page Not Found,390316,接口,,1,Windows路径,1,Windows路径:g:\\\,否
https://code.claude.com/docs/en/skills%5C,200,Page Not Found,387872,接口,,1,Windows路径,1,Windows路径:g:\\\,否
https://code.claude.com/docs/en/630,200,Page Not Found,390099,接口,,1,Windows路径,1,Windows路径:g:\\\,否
https://code.claude.com/docs/en/Claude,200,Page Not Found,390332,接口,,1,Windows路径,1,Windows路径:g:\\\,否
https://code.claude.com/docs/en/path.join,200,Page Not Found,386452,JOIN,,1,Windows路径,1,Windows路径:g:\\\,否
https://code.claude.com/docs/en/overview,200,Claude Code overview - Claude Code Docs,523465,接口,,1,Windows路径,1,Windows路径:g:\\\,否
https://code.claude.com/docs/en/1200,200,Page Not Found,390211,接口,,1,Windows路径,1,Windows路径:g:\\\,否
