URL,状态,标题,长度,链接类型,重定向,深度,敏感信息类型,敏感信息数量,敏感信息详细清单,是否重复
https://opencode.ai/docs/skills,200,Agent Skills | OpenCode,61526,接口,,0,IP地址,5,IP地址:31.2.69.82; 1.9.91.08; 5.92.42.36; 4.32.08.08; 2.03.08.08,否
https://opencode.ai/docs/models/,200,Models | OpenCode,72836,接口,,1,IP地址,5,IP地址:31.2.69.82; 1.9.91.08; 5.92.42.36; 4.32.08.08; 2.03.08.08,否
https://opencode.ai/docs/OpenCode,404,请求失败，状态码: 404,97,接口,,1,,,,否
https://opencode.ai/docs/width=device-width,404,请求失败，状态码: 404,107,接口,,1,,,,否
https://opencode.ai/docs/Starlight,404,请求失败，状态码: 404,98,接口,,1,,,,否
https://opencode.ai/docs/en,404,请求失败，状态码: 404,91,接口,,1,,,,否
https://opencode.ai/docs/summary_large_image,404,请求失败，状态码: 404,108,接口,,1,,,,否
https://opencode.ai/docs/Astro,404,请求失败，状态码: 404,94,接口,,1,,,,否
https://opencode.ai/docs/skills/,200,Agent Skills | OpenCode,61526,接口,,1,IP地址,5,IP地址:31.2.69.82; 1.9.91.08; 5.92.42.36; 4.32.08.08; 2.03.08.08,否
https://opencode.ai/docs/permissions/,200,Permissions | OpenCode,70242,接口,,1,IP地址,5,IP地址:31.2.69.82; 1.9.91.08; 5.92.42.36; 4.32.08.08; 2.03.08.08,否
https://opencode.ai/docs/Agent,404,请求失败，状态码: 404,94,接口,,1,,,,否
https://opencode.ai/docs/article,404,请求失败，状态码: 404,96,接口,,1,,,,否
https://opencode.ai/docs/Define,404,请求失败，状态码: 404,95,接口,,1,,,,否
https://opencode.ai/docs/zen/,200,Zen | OpenCode,66380,接口,,1,IP地址|邮箱,5|1,IP地址:31.2.69.82; 1.9.91.08; 5.92.42.36; 4.32.08.08; 2.03.08.08|邮箱:contact@anoma.ly,否
https://opencode.ai/docs/rules/,200,Rules | OpenCode,67175,接口,,1,IP地址,5,IP地址:31.2.69.82; 1.9.91.08; 5.92.42.36; 4.32.08.08; 2.03.08.08,否
https://opencode.ai/docs/models/Configuring,404,请求失败，状态码: 404,107,接口,,2,,,,否
https://opencode.ai/docs/models/article,404,请求失败，状态码: 404,103,接口,,2,,,,否
https://opencode.ai/docs/ide/,200,IDE | OpenCode,40816,接口,,1,IP地址,5,IP地址:31.2.69.82; 1.9.91.08; 5.92.42.36; 4.32.08.08; 2.03.08.08,否
