URL,Status,Title,Length,Redirects,Depth,Sensitive Types,Sensitive Counts,Sensitive Details,Is Duplicate
https://opencode.ai/docs/skills,200,Agent Skills | OpenCode,61526,接口,,0,IP地址,5,IP地址:31.2.69.82; 1.9.91.08; 5.92.42.36; 4.32.08.08; 2.03.08.08,否
https://opencode.ai/docs/models/,200,Models | OpenCode,72836,接口,,1,IP地址,5,IP地址:31.2.69.82; 1.9.91.08; 5.92.42.36; 4.32.08.08; 2.03.08.08,否
https://opencode.ai/docs/skills/,200,Agent Skills | OpenCode,61526,接口,,1,IP地址,5,IP地址:31.2.69.82; 1.9.91.08; 5.92.42.36; 4.32.08.08; 2.03.08.08,否
https://opencode.ai/docs/permissions/,200,Permissions | OpenCode,70242,接口,,1,IP地址,5,IP地址:31.2.69.82; 1.9.91.08; 5.92.42.36; 4.32.08.08; 2.03.08.08,否
https://opencode.ai/docs/troubleshooting/,200,Troubleshooting | OpenCode,52229,接口,,1,IP地址,5,IP地址:31.2.69.82; 1.9.91.08; 5.92.42.36; 4.32.08.08; 2.03.08.08,否
https://opencode.ai/docs/ecosystem/,200,Ecosystem | OpenCode,47793,接口,,1,IP地址,5,IP地址:31.2.69.82; 1.9.91.08; 5.92.42.36; 4.32.08.08; 2.03.08.08,否
https://opencode.ai/docs/ide/,200,IDE | OpenCode,40816,接口,,1,IP地址,5,IP地址:31.2.69.82; 1.9.91.08; 5.92.42.36; 4.32.08.08; 2.03.08.08,否
https://opencode.ai/docs/share/,200,Share | OpenCode,50198,接口,,1,IP地址,5,IP地址:31.2.69.82; 1.9.91.08; 5.92.42.36; 4.32.08.08; 2.03.08.08,否
https://opencode.ai/docs/server/,200,Server | OpenCode,76210,接口,,1,内网IP|IP地址,1|6,"内网IP:('127.0.0.1', '')|IP地址:31.2.69.82; 1.9.91.08; 127.0.0.1; 5.92.42.36; 4.32.08.08; 2.03.08.08",否
https://opencode.ai/docs/enterprise/,200,Enterprise | OpenCode,54067,接口,,1,IP地址|邮箱,5|1,IP地址:31.2.69.82; 1.9.91.08; 5.92.42.36; 4.32.08.08; 2.03.08.08|邮箱:contact@anoma.ly,否
https://opencode.ai/docs/gitlab/,200,GitLab | OpenCode,70906,接口,,1,IP地址|邮箱,5|1,IP地址:31.2.69.82; 1.9.91.08; 5.92.42.36; 4.32.08.08; 2.03.08.08|邮箱:opencode@gitlab.com,否
